consumption (binary),soil humidity 2 (gr%/ml),temperature (celcius),air humidity (%),temperature/humidity
0,22.83,25.14,94.97,0.264715173
0,22.88,25.29,95,0.266210526
0,22.43,25.32,95.2,0.265966387
0,22.51,25.43,96,0.264895833
0,22.55,25.39,96,0.264479167
0,22.39,25.29,96,0.2634375
0,22.4,25.22,96,0.262708333
0,22.3,25.45,96,0.265104167
0,22.16,25.53,96,0.2659375
1,22.41,25.67,96,0.267395833
1,22.79,25.85,96,0.269270833
1,22.97,25.29,93.22,0.271293714
1,23.02,24.92,87.72,0.284085727
1,22.99,24.14,78.43,0.307790386
0,22.2,24.81,77.97,0.318199307
0,21.95,24.72,81.23,0.304321064
1,22.21,24.15,83.2,0.290264423
1,22.31,24.13,84.73,0.28478697
1,22.3,24.1,85,0.283529412
1,22.38,24.08,84.93,0.283527611
1,22.42,24.2,73.27,0.330285246
1,22.46,24.2,72.13,0.335505338
1,22.6,24.16,75.27,0.320977813
1,22.61,24.07,84.13,0.286104838
1,22.6,23.99,81.73,0.293527468
1,22.09,24.1,88,0.273863636
1,22.21,24.1,88,0.273863636
1,21.68,24.16,84.27,0.28669752
0,22.22,24.2,69.27,0.349357586
1,22.16,24.2,71.7,0.337517434
1,22.18,24.38,85.53,0.285046183
1,22.27,24.44,87.83,0.27826483
1,22.31,24.36,88.17,0.27628445
1,22.46,24.57,89,0.276067416
1,21.46,24.66,89,0.277078652
1,21.57,24.75,89,0.278089888
1,22.36,24.89,89,0.279662921
1,22.26,24.72,89,0.277752809
1,22.38,24.85,85.83,0.289525807
1,21.85,24.91,88.07,0.282843193
1,22.3,25,89,0.280898876
1,22.31,24.93,89.83,0.277524212
1,22.22,24.9,90,0.276666667
1,22.57,24.9,90,0.276666667
1,21.56,24.9,89.93,0.276882019
1,22.52,24.84,90,0.276
1,22.47,24.8,90,0.275555556
1,22.37,24.81,90,0.275666667
1,21.95,24.9,90,0.276666667
1,21.87,24.8,90,0.275555556
0,22.13,24.8,90,0.275555556
0,22.38,24.8,90,0.275555556
0,22.14,24.75,89.93,0.275214055
0,22.58,24.64,89.75,0.27454039
0,22.05,24.5,89,0.275280899
0,22.15,24.5,89.03,0.275188139
0,22.52,24.52,89,0.275505618
0,22.12,24.51,89,0.275393258
0,22.28,24.7,88.35,0.279569892
0,22.03,24.69,87.72,0.281463748
0,22.12,24.62,87.07,0.282760997
0,22.49,24.73,87,0.284252874
0,22.43,24.79,87,0.284942529
0,23.39,24.8,86.68,0.286109829
0,22.45,23.56,88.8,0.265315315
0,22.06,25.39,85,0.298705882
0,21.85,25.67,84.73,0.302962351
0,22.99,25.61,83.2,0.3078125
0,22.43,25.74,81.33,0.316488381
0,22.42,25.84,81,0.319012346
0,22.21,26.06,81,0.321728395
0,22.25,26.08,80.23,0.325065437
0,21.5,26.06,80,0.32575
0,22.14,26.2,80,0.3275
0,22,26.2,80,0.3275
0,21.97,26.2,80,0.3275
0,22.15,26.47,80.03,0.330750968
0,22.6,26.7,80,0.33375
0,21.97,26.7,80.27,0.332627383
0,22.4,26.7,80.93,0.329914741
0,21.87,26.7,81,0.32962963
0,22.02,26.67,81.73,0.326318365
1,22.05,25.93,84.63,0.306392532
0,22.31,25.6,80.97,0.316166481
1,22.33,26.99,81,0.333209877
1,22.27,25.88,82,0.315609756
1,21.95,26.2,82,0.319512195
1,22.23,26.49,82,0.32304878
1,22.51,26.68,82.98,0.321523259
1,22.92,26.7,83.98,0.317932841
1,22.49,26.7,84,0.317857143
1,23.51,26.7,84,0.317857143
1,23.79,26.7,84,0.317857143
1,23.41,26.7,84,0.317857143
1,23.36,26.84,84.07,0.319257761
1,23.54,26.85,84,0.319642857
1,23.68,26.75,83.93,0.318717979
1,23.15,26.68,83.8,0.318377088
1,22.61,26.52,81.78,0.324284666
1,24.05,27.03,81.62,0.331168831
1,23.36,27.09,82.35,0.328961749
0,23.35,27.27,82.97,0.328673014
1,23.38,27.39,83.43,0.328299173
1,23.69,27.91,84.32,0.331000949
1,23.5,27.82,84.73,0.328337071
1,23.13,27.71,84.9,0.326383981
1,22.9,27.83,84.48,0.329427083
1,22.71,27.97,84.15,0.33238265
1,23.12,28,84,0.333333333
1,23.09,28,84,0.333333333
1,22.67,28,84,0.333333333
1,23.31,28,84,0.333333333
1,23.07,28.06,84,0.334047619
1,23.45,28.01,83.28,0.336335255
1,22.61,28,83.03,0.337227508
1,23.58,27.99,83.13,0.336701552
1,22.73,27.66,83.92,0.329599619
1,22.98,27.67,83.97,0.329522448
1,22.8,27.98,83.2,0.336298077
1,23.07,27.74,83.87,0.33074997
1,23.07,27.6,84,0.328571429
1,22.55,27.44,83.6,0.328229665
1,22.78,27.13,82.43,0.329127745
1,23.07,26.94,81,0.332592593
1,22.77,27.45,81,0.338888889
1,22.84,27.58,80.17,0.34401896
0,23.06,27.47,80,0.343375
0,26.96,31.08,33.53,0.926931106
1,26.33,31.57,32.47,0.972282107
1,26.11,31.8,31.2,1.019230769
1,26,31.8,31,1.025806452
1,25.65,32.28,31,1.041290323
0,25.63,32.3,30.23,1.068475025
1,25.43,32.3,30.97,1.042944785
1,25.64,32,32.07,0.997817275
1,25.37,31.8,32.3,0.984520124
1,25.09,31.8,32,0.99375
1,25.47,31.8,32.3,0.984520124
1,25.73,31.8,32.92,0.965978129
0,24.86,31.8,32.63,0.974563285
1,24.92,31.8,33,0.963636364
1,24.81,31.8,32.05,0.992199688
1,24.9,32.2,32,1.00625
1,24.79,32.3,31.93,1.011587848
1,24.56,32.3,31,1.041935484
1,24.7,32.3,32.4,0.99691358
0,24.44,32.3,32,1.009375
1,24.33,32.3,32,1.009375
1,23.66,32.3,32,1.009375
1,24.27,32.3,32.03,1.008429597
1,23.8,32.03,32,1.0009375
1,23.97,32.02,32,1.000625
1,23.54,31.8,32.9,0.96656535
1,23.71,31.8,33,0.963636364
0,23.74,31.8,33,0.963636364
1,23.08,31.8,32.03,0.992819232
1,23.25,31.8,32,0.99375
1,22.87,31.8,32,0.99375
1,23.34,31.8,31.83,0.999057493
1,24.14,31.8,32,0.99375
1,22.38,31.8,32,0.99375
1,21.95,31.8,32,0.99375
1,21.95,31.8,32,0.99375
1,22,31.8,32.57,0.976358612
1,23.1,31.89,32.83,0.971367652
1,23.61,32.2,32.83,0.980810235
1,21.65,32.3,32.23,1.00217189
1,21.67,32.3,32,1.009375
1,21.88,32.3,31.5,1.025396825
1,21.88,32.3,31.9,1.012539185
1,21.75,32.3,32,1.009375
0,21.9,32.33,32.33,1
1,21.98,32.8,32.7,1.003058104
1,21.77,32.8,33.77,0.971276281
1,22.11,32.8,34.3,0.956268222
1,22.22,32.8,34.67,0.946062879
1,22.42,32.73,34,0.962647059
1,21.97,32.3,34.17,0.945273632
1,22.53,32.3,34.45,0.937590711
0,22.15,32.3,35.5,0.909859155
1,22.03,32.3,35.55,0.908579466
1,22.2,32.3,35.43,0.911656788
